tier,run_idx,block_number,tx_hash,receipt_gasUsed,event_actualGasUsed,event_actualGasCost,tier_factors
1,1,11498622,0xc794a80e31ea553c148c681b0d7ad02c1d96297db680de6914e62d06a08e89e0,119036,172087,204324724202951,P256(0x03)
2,1,11498623,0x57441e728f0660a1851be80af8f8d25e98da6cfb5a2ddb5c54cb3d68556863fd,629363,677206,778376583593424,P256+BLS3(0x04)
3,1,11498624,0x0ffdebcccc1b8ba58b3ff4e73fac94ecab8dde7d423667b2b39a1debc48da233,637049,683853,837775282900350,P256+BLS3+guardian(0x05)
1,2,11498625,0x190f39823145a35f42c9f50772ef4caa4984a4dd60fed497d8020d0cd6ec4f65,101948,154987,174352672146100,P256(0x03)
2,2,11498626,0x60353135a115b67f3f3007040dc25c46ae10f572f2126b34c44d2d75669823a5,629375,677206,741156959889240,P256+BLS3(0x04)
3,2,11498627,0x2586cd3548ea9c21c2a6e6e91bd030970c51de6af513f85eb6b8a9d6b2c2d4f4,637037,683853,686030145868038,P256+BLS3+guardian(0x05)
1,3,11498629,0x882142f5708c507e8be79e3dec0815f1bc85733e6fa90c3f5204deb0f41ade7a,101948,154987,161767743554774,P256(0x03)
2,3,11498630,0x14f5b1c3b5d80256a06412120b79dbccb35ac11f8191aab99715cafb879960a7,629375,677206,681504507522490,P256+BLS3(0x04)
3,3,11498632,0xd447413f06ccf4386fb83d4bb6306a5d92d4c22758d76acc63239b98def9bda9,637037,683853,725097601631211,P256+BLS3+guardian(0x05)
1,4,11498634,0x6d47c7b12baf50b16e7a7db611741ff39f5a0652d73dff8d3a6b7570cf037e7d,101948,154987,170623037855375,P256(0x03)
2,4,11498635,0x3f227f8fb1372be24a0c77cd019359227609ecc0ace0a7695932ed8bfe454da2,629327,677206,709797727246530,P256+BLS3(0x04)
3,4,11498637,0x5262aa3152f588fcbde35a009eaecbd0e400b8d57c99ac73358d3691989e0119,637037,683853,765383442040275,P256+BLS3+guardian(0x05)
1,5,11498638,0x435f2c5126f4c244a0aa55286da18e423c4a8763b12bc4c42460a7ea24775b9b,101948,154987,167751169661943,P256(0x03)
2,5,11498639,0x5ab4124ad4d286e688dc8aeb9cf4597419efe61e86d54d5ce3ac878e7cecedd0,629351,677206,751636739669390,P256+BLS3(0x04)
3,5,11498640,0x8066a166824cf547c57b00659630f498d6bad881a1f09b98f9da851becd2675c,637037,683853,695548767579603,P256+BLS3+guardian(0x05)
1,6,11498641,0x512dfa220daf50023de0bfdf20ab0d8654d94bab439337486559e4c37eae2a0e,101948,154987,156940125250755,P256(0x03)
2,6,11498642,0xdb66ed62393cc948b22873f56072322e8ee561b11ab2b8bb839da93da998e4fc,629363,677206,678180439162666,P256+BLS3(0x04)
3,6,11498644,0x1d2097874a78e50904a99d4848d7a28425c012015a25e98b0a371da7874905c1,637037,683853,725895408475866,P256+BLS3+guardian(0x05)
1,7,11498645,0xf11988b44aaa197e0573f1e23f23aee5e46170bc4e780941f07b921a0a35cc31,101936,154987,177116128792876,P256(0x03)
2,7,11498646,0x0ef805403e64b0f877c520c3fd7b5f06ce1574875646f5de21a4686bf8dd8399,629375,677206,716530836389028,P256+BLS3(0x04)
3,7,11498647,0x71034c62f2825018cd0f01019bfa72591833bc2379de3724755a280db8290404,637049,683853,692857273303116,P256+BLS3+guardian(0x05)
1,8,11498649,0xa14676e9c4042ca64ef9a913afe478991a38fd112218d2b53cf2f48fa6e7b2b7,101948,154987,162382917490213,P256(0x03)
2,8,11498651,0xf2966c8cf172e80529e93b6ccdfd83da25b8beb737b3b7fd42b1066e34098082,629363,677206,759235986482210,P256+BLS3(0x04)
3,8,11498652,0xb9733d990987db196df2e7f0ca23e9a8849d71d8f6057d03c71e8a4ea23f6134,637013,683853,746917538650761,P256+BLS3+guardian(0x05)
1,9,11498653,0x599f2e8bbe12e31aa757d32129c2145bc7b27a7f4d0d4267bf2b6217077cb7ca,101948,154987,157430084878920,P256(0x03)
2,9,11498654,0x2a05e4dddba6f5e34659890bee8b566bd1a0667fd15841bef07afebadc7ea05e,629351,677206,646637921393262,P256+BLS3(0x04)
3,9,11498656,0x9b7db546eda5905e6c82c3880c35adb45bc8b571b15e3dca81a0d153e9cf609c,637037,683853,721635762678843,P256+BLS3+guardian(0x05)
1,10,11498657,0xd99f9ebdec65acdfac85acfe7f9c02d115bec275145f504613f88c624b70ea74,101936,154987,160622978265400,P256(0x03)
2,10,11498659,0x2a8cf85592f1fe8ecb090ed1474f073fcd4deeec47440362d86a8ed5cf23b7ce,629375,677206,726218379958018,P256+BLS3(0x04)
3,10,11498660,0x38acd177af366ef9f661a4974a65fc0a684ecfc2cc8a2e3811b4d7b95a409f32,637049,683853,693375968281233,P256+BLS3+guardian(0x05)
